dataset,feature,feature_type,ratio,perm_p,perm_z,ai_doc_count
ai7,ネーション-nation,lexical,0.21592790136995707,0.07892107892107893,1.442607023419391,18.0
ai7,Internal,lexical,0.15251044054288881,0.5254745254745254,-0.07264011998411476,12.0
ai7,クリックジャッキング,lexical,0.19040693224626112,0.3196803196803197,0.18882630595372898,7.0
ai7,欠かす,lexical,0.34740640500471776,0.000999000999000999,5.057780123796254,69.0
ai7,建設,lexical,0.260557857330844,0.001998001998001998,2.947936088416854,41.0
ai7,デプロイメント,lexical,0.3575743760192922,0.000999000999000999,4.83926798914268,22.0
ai7,尊重,lexical,0.237936918793772,0.07192807192807193,1.528508234154285,13.0
ai7,Confluence,lexical,0.32140083994554636,0.023976023976023976,2.519141946461235,9.0
ai7,タイズ,lexical,0.22431035441317448,0.2837162837162837,0.7702286185176657,7.0
ai7,両面,lexical,0.22431035441317448,0.3206793206793207,0.699028471932871,7.0
ai7,ベスト-best,lexical,0.5251206684951686,0.000999000999000999,9.702499023574912,160.0
ai7,早期,lexical,0.300143442250304,0.000999000999000999,3.8226989979307184,84.0
ai7,ピラミッド-pyramid,lexical,0.5372680120719387,0.000999000999000999,6.326164686368747,9.0
ai7,Jira,lexical,0.3159012057027806,0.002997002997002997,3.444977884411954,17.0
ai7,Trello,lexical,0.1992303364150439,0.25074925074925075,0.7412227924867663,12.0
ai7,ハイジャック-hijack,lexical,0.21278000235982683,0.13686313686313686,0.9437654140075306,11.0
ai7,refactor,lexical,0.40631571138394623,0.006993006993006993,3.722061429010252,8.0
ai7,講ずる,lexical,0.3212531484431265,0.005994005994005994,3.408275008445198,17.0
ai7,捕捉,lexical,0.22291815866128256,0.0969030969030969,1.3671123236400171,15.0
ai7,醸成,lexical,0.27037012409500816,0.008991008991008992,2.938119456556326,23.0
ai7,プラクティス-practice,lexical,0.49623348250967275,0.000999000999000999,9.06981545620882,162.0
ai7,再発,lexical,0.2762715890119523,0.03996003996003996,2.0640384049431444,12.0
ai7,側面,lexical,0.7144736214923314,0.000999000999000999,11.814887192304857,19.0
ai7,finally,lexical,0.1723524626021622,0.33166833166833165,0.44885043738633035,15.0
ai7,実践,lexical,0.7777696381382819,0.000999000999000999,16.140698343719347,156.0
ai7,ペネトレーションテスト,lexical,0.21885534396783926,0.18281718281718282,0.7365544820922691,8.0
ai7,Prettier,lexical,0.278603917528437,0.025974025974025976,2.3780698134488882,13.0
ai7,直結,lexical,0.35616540673156183,0.000999000999000999,4.541465351922558,22.0
ai7,レジストリー-registry,lexical,0.19207090311544608,0.13286713286713286,1.1191182445683643,29.0
ai7,順守,lexical,0.11046568912293783,0.7742257742257742,-0.7430962897755907,21.0
ai7,後方,lexical,0.1992303364150439,0.21878121878121878,0.7711115840308752,12.0
ai7,築く,lexical,0.18673932825782463,0.24275724275724275,0.6297904730210993,13.0
ai7,Prometheus,lexical,0.521519164865488,0.000999000999000999,6.834174780484048,13.0
ai7,戦略,lexical,0.3811452891506716,0.000999000999000999,5.619120791930423,99.0
ai7,チームワーク-teamwork,lexical,0.2817554940020279,0.03496503496503497,1.9101165020740376,9.0
ai7,レトロスペクティブ-retrospective,lexical,0.3053811817120913,0.006993006993006993,3.2049648025724258,16.0
ai7,Policy,lexical,0.11394119543185194,0.7042957042957043,-0.6897699971420208,15.0
ai7,批判,lexical,0.12523617223536807,0.6303696303696303,-0.42868349712216547,19.0
ai7,落とし穴,lexical,0.8671741801127923,0.000999000999000999,12.531215750368414,12.0
ai7,堅牢,lexical,0.22846321357934143,0.028971028971028972,2.0352799794352943,32.0
ai7,ESLint,lexical,0.3769687651356284,0.000999000999000999,5.000749110710342,17.0
ai7,HTTPS,lexical,0.1769077055969436,0.1848151848151848,0.8678615766677812,37.0
ai7,心掛ける,lexical,0.30598092405552557,0.001998001998001998,4.025922571975782,47.0
ai7,ロギング-Longging,lexical,0.35378034430436334,0.000999000999000999,4.548488240613675,19.0
ai7,Created,lexical,0.18713439086640282,0.23576423576423577,0.7590705374869557,14.0
ai7,インジェクション-injection,lexical,0.17659950293284749,0.1878121878121878,0.8203725614533408,34.0
ai7,ガイド-guide,lexical,0.36607274422553293,0.000999000999000999,5.518399837105493,83.0
ai7,スタンド-stand,lexical,0.27306632416192284,0.014985014985014986,2.4581142832331633,16.0
ai7,Wiki,lexical,0.23522070653444535,0.07292707292707293,1.561214756053922,14.0
ai7,パイプライン,lexical,0.26362430153537614,0.001998001998001998,3.1448549237491537,81.0
ai7,エンティティー-entity,lexical,0.2570065492290072,0.007992007992007992,2.6709013811381372,27.0
ai7,見直し,lexical,0.5292840095620608,0.000999000999000999,8.71959474908246,31.0
ai7,効果,lexical,0.2894993077950088,0.000999000999000999,3.6434414306466856,134.0
ai7,対策,lexical,0.17227421971786117,0.1928071928071928,0.8393543784782597,83.0
ai7,リレーショナル-relational,lexical,0.048796944413086164,0.999000999000999,-2.090199820629714,37.0
ai7,Top,lexical,0.4255969797264543,0.000999000999000999,4.980377487346916,14.0
ai7,頻発,lexical,0.2623754262484035,0.058941058941058944,1.7330697916118323,11.0
ai7,Compose,lexical,0.21169314054788826,0.07792207792207792,1.5388068999478945,26.0
ai7,CD,lexical,0.4085889567706798,0.000999000999000999,6.648358459490866,104.0
ai7,排除,lexical,0.23147024478688752,0.03296703296703297,2.116514346436463,38.0
ai7,コラボレーション-collaboration,lexical,0.16966649189211927,0.23976023976023977,0.560184384104399,21.0
