condition,repeat,fold,features,auc,n_words
lenadj,14,0,rhythm,0.7687755102040816,0
lenadj,14,0,combined,0.975,1514
lenadj,14,1,length_only,0.8282631038026721,0
lenadj,14,1,lexical,0.9723535457348407,1532
lenadj,14,1,rhythm,0.746454265159301,0
lenadj,14,1,combined,0.973792394655704,1532
lenadj,14,2,length_only,0.8161356628982529,0
lenadj,14,2,lexical,0.978622816032888,1611
lenadj,14,2,rhythm,0.8225077081192189,0
lenadj,14,2,combined,0.9806783144912641,1611
lenadj,14,3,length_only,0.8062692702980472,0
lenadj,14,3,lexical,0.9759506680369989,1557
lenadj,14,3,rhythm,0.8571428571428572,0
lenadj,14,3,combined,0.9820143884892086,1557
lenadj,14,4,length_only,0.7997944501541623,0
lenadj,14,4,lexical,0.984994861253854,1488
lenadj,14,4,rhythm,0.8355601233299075,0
lenadj,14,4,combined,0.9905447070914697,1488
lenadj,15,0,length_only,0.8589795918367347,0
lenadj,15,0,lexical,0.9775510204081632,1579
lenadj,15,0,rhythm,0.8470408163265306,0
lenadj,15,0,combined,0.9851020408163266,1579
lenadj,15,1,length_only,0.7668036998972251,0
lenadj,15,1,lexical,0.9774922918807811,1541
lenadj,15,1,rhythm,0.8070914696813977,0
lenadj,15,1,combined,0.9832476875642344,1541
lenadj,15,2,length_only,0.8007194244604317,0
lenadj,15,2,lexical,0.9787255909558068,1519
lenadj,15,2,rhythm,0.7762589928057554,0
lenadj,15,2,combined,0.9827338129496404,1519
lenadj,15,3,length_only,0.8279547790339157,0
lenadj,15,3,lexical,0.96207605344296,1563
lenadj,15,3,rhythm,0.8369989722507708,0
