word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
排除,8.4567,True,excess,38,25,0.111111,0.03709,2.9957,0.074021,1.9224,4.9929,0.041169,0.112489,20.6877,5.406244975070083e-06,2.7756452859811035e-05,0.00910411653801802,True,True,excess,True,True,True
コラボレーション-collaboration,8.4567,True,excess,21,13,0.062678,0.019971,3.1384,0.042707,1.6974,6.3243,0.017066,0.068356,11.4935,0.0006984023105070634,0.002223269358967665,1.0,True,False,excess,True,False,True
分担,8.4567,True,excess,16,13,0.048433,0.019971,2.4251,0.028462,1.2361,5.1073,0.005665,0.054115,5.4301,0.01979200254734642,0.04284027286597863,1.0,True,False,excess,True,False,True
ユーザビリティー-usability,8.4567,True,excess,17,7,0.051282,0.011412,4.4936,0.03987,2.1633,11.9829,0.017078,0.06267,13.8638,0.00019655214946634768,0.0007258636396958979,0.33099381970132946,True,False,excess,True,False,True
共存,8.4567,False,excess,2,4,0.008547,0.007133,1.1983,0.001414,0.3329,4.0068,-0.007141,0.011392,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
タイムリー-timely,8.4567,False,excess,4,2,0.014245,0.00428,3.3286,0.009965,0.7989,13.9801,-0.001431,0.022788,1.6972,0.19265478949243287,0.29601338093545343,1.0,False,False,excess,False,False,False
ROI,8.4567,False,excess,6,3,0.019943,0.005706,3.495,0.014237,1.1412,13.0064,0.00141,0.028486,3.152,0.0758331590521666,0.13761103431449198,1.0,False,False,excess,False,False,True
ダイヤグラム-diagram,8.4567,False,excess,4,3,0.014245,0.005706,2.4964,0.008539,0.6657,9.9858,-0.002861,0.022784,0.8809,0.3479628246435077,0.48144911763771964,1.0,False,False,excess,False,False,False
リミット-limit,8.4567,False,excess,2,2,0.008547,0.00428,1.9972,0.004267,0.4993,7.9886,-0.002861,0.014241,0.0314,0.8594185485165475,0.9552876803312647,1.0,False,False,excess,False,False,False
定期,8.0345,True,excess,116,61,0.333333,0.088445,3.7688,0.244888,2.8226,5.1294,0.186446,0.299028,97.6138,5.0848438129781634e-23,2.25338867922506e-21,8.562876981055227e-20,True,True,excess,True,True,True
配分,8.0268,True,excess,13,9,0.039886,0.014265,2.796,0.025621,1.3305,6.326,0.005674,0.048417,5.5771,0.018197034390647956,0.03979715053746904,1.0,True,False,excess,True,False,True
特,7.6686,True,excess,1,1,0.005698,0.002853,1.9972,0.002845,0.4993,7.9886,-0.002857,0.009969,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
Not,7.597,True,excess,16,8,0.048433,0.012839,3.7724,0.035594,1.8146,9.1869,0.012802,0.059809,10.7936,0.001018524089347152,0.003107236533443123,1.0,True,False,excess,True,False,True
Options,7.511,True,excess,7,4,0.022792,0.007133,3.1954,0.015659,1.1095,11.9829,0.001406,0.03418,3.3189,0.06848930890529108,0.12605026906722425,1.0,False,False,excess,False,False,True
